"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ceci est un test de connexion réussi avec des données valides pour un étudiant.","28905","Connexion reussi","chromium","Wed Jun 04 17:46:33 WAT 2025","passed","Wed Jun 04 17:47:02 WAT 2025","","connexion.spec.ts","",""
"Ceci est un test de connexion avec des champs vides pour un étudiant, vérifiant l'affichage des messages d'avertissement.","14987","Affichage des messages d'avertissement lors de la soumission du formulaire avec les champs vides","chromium","Wed Jun 04 17:47:03 WAT 2025","passed","Wed Jun 04 17:47:18 WAT 2025","","connexion.spec.ts","",""
